age_group,residual_error,num_anchors,scale
1,0.0,131,1.0
2,0.12239224463701248,131,229.0553741455078
3,0.15135371685028076,131,211.75746154785156
4,0.13886766135692596,131,182.16175842285156
5,0.13096259534358978,131,185.21896362304688
6,0.12802556157112122,131,181.01101684570312
7,0.12990760803222656,131,183.36480712890625
8,0.13085946440696716,131,176.08299255371094
