age_from,age_to,mean_drift,median_drift,max_drift,num_nodes
1,2,1.18068128238425,0.9989633560180664,5.490598678588867,131
2,3,1.1891505139247152,1.2000375986099243,5.345247268676758,131
3,4,1.0914606570571888,1.0676121711730957,3.751152276992798,131
4,5,0.8962707990737817,0.8825926184654236,2.975285530090332,131
5,6,0.7817949604043979,0.7766644954681396,3.027425765991211,131
6,7,0.7662819093590929,0.7199342250823975,3.0913782119750977,131
7,8,0.7092949098530617,0.7040225267410278,2.1710963249206543,131
