age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
1,0-9,0.636489767603191,0.007074602169396928,3,0.5319715927479681,170,156,31,409,31,False,
2,10-19,0.5187376725838264,0.134609062715054,3,0.5703052918623008,152,133,26,347,26,False,
3,20-29,0.5790642787727336,0.05487216830408923,3,0.652283215869841,263,248,49,747,49,False,
4,30-39,0.6565564192450338,0.022509541293942788,3,0.5463097053514233,420,406,81,1424,81,False,
5,40-49,0.7201007068242947,0.03459806237153158,3,0.4681782749704672,737,730,146,2045,146,False,
6,50-59,0.6994671470921864,0.031499232422768614,3,0.42303489879366907,945,939,187,2643,187,False,
7,60-69,0.6610056001947894,0.012868215449970202,3,0.39294965920963537,1121,1114,222,2696,222,False,
8,70-79,0.6769860829519198,0.014035107440912364,3,0.373900705366309,1446,1438,287,3014,287,False,0.4157267904187255
