node,mean_drift
H46-H48,2.405241991260222
H30-H36,2.0604200591998443
G35-G37,2.025278371359621
L60-L75,1.9068725449698312
A50-A64,1.8969023280910082
H49-H52,1.7677936043058122
H53-H54,1.7667292952537537
K35-K38,1.6942075320652552
N20-N23,1.6764876331601823
M95-M99,1.6599236386162894
K65-K67,1.592522280556815
L80-L99,1.5910959584372384
B15-B19,1.5147282225745065
L55-L59,1.5017602486269814
N60-N64,1.4592925565583366
N80-N98,1.4590513450758797
K00-K14,1.4234218985906668
B00-B09,1.4217354655265808
H80-H83,1.4217063784599304
N99-N99,1.3496419883200101
