age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
1,0-9,0.6500173430454388,0.0032166557389856614,3,0.6353051092751022,170,156,31,409,31,False,
2,10-19,0.4763313609467456,0.13569209817122638,3,0.6164134527983379,152,133,26,347,26,False,
3,20-29,0.6080799666805498,0.033611451304285576,3,0.6878276862022833,263,248,49,747,49,False,
4,30-39,0.6587410455723212,0.02910862284919232,3,0.583439329507051,420,406,81,1424,81,False,
5,40-49,0.7110464752611496,0.05870099346403913,3,0.4975697564306719,737,730,146,2045,146,False,
6,50-59,0.7024984033477271,0.028059489511578935,3,0.46836789540770624,945,939,187,2643,187,False,
7,60-69,0.6851107864621379,0.020555670084963236,3,0.3823683264593785,1121,1114,222,2696,222,False,
8,70-79,0.6792846823440858,0.029362648939402134,3,0.39865245717287723,1446,1438,287,3014,287,False,0.4191261275479853
