age,age_range,nodes,edges,density,mean_degree,components,n_isolates,isolate_frac
1,0-9,131,170,0.019965,2.6,67,64,0.4885
2,10-19,131,152,0.017851,2.32,55,54,0.4122
3,20-29,131,263,0.030887,4.02,49,47,0.3588
4,30-39,131,420,0.049325,6.41,37,36,0.2748
5,40-49,131,737,0.086553,11.25,32,31,0.2366
6,50-59,131,945,0.110981,14.43,28,27,0.2061
7,60-69,131,1121,0.13165,17.11,23,22,0.1679
8,70-79,131,1446,0.169818,22.08,19,18,0.1374
