age_from,age_to,k,mean_stability,median_stability,min_stability,num_nodes
1,2,25,0.1867008507185588,0.16279069767441862,0.0,131
2,3,25,0.25431745661893473,0.21951219512195122,0.02040816326530612,131
3,4,25,0.2976148745850031,0.3157894736842105,0.0,131
4,5,25,0.36513459286996053,0.3888888888888889,0.0,131
5,6,25,0.3821880427820833,0.42857142857142855,0.02040816326530612,131
6,7,25,0.38871837766099065,0.42857142857142855,0.0,131
7,8,25,0.3585151502326718,0.3888888888888889,0.0,131
