age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
1,2,1.6866176029046376,1.6038079261779785,3.2653396129608154,1080,42,0.0389,0.8972,0.8991
2,3,2.2543515415673845,2.07700777053833,4.414003372192383,1080,89,0.0824,0.8991,0.8593
3,4,2.5112081929831436,2.2834765911102295,5.588884353637695,1080,142,0.1315,0.8593,0.8148
4,5,2.408657261665831,2.1550509929656982,5.992369651794434,1080,188,0.1741,0.8148,0.7278
5,6,2.177719466250761,2.170818328857422,6.72036075592041,1080,271,0.2509,0.7278,0.6917
6,7,2.067736260786459,2.0189547538757324,6.352904796600342,1080,308,0.2852,0.6917,0.663
7,8,2.1565183287858964,2.0962857007980347,5.5410027503967285,1080,350,0.3241,0.663,0.6444
