age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
2,10-19,,,0,-0.41818181818181815,10,0,0,0,0,False,
3,20-29,,,0,0.2753036437246964,39,35,0,0,0,False,
4,30-39,0.6380208333333334,0.07549838028293868,3,0.2676787927389371,87,81,16,170,16,False,
5,40-49,0.6878255208333334,0.05298895276494779,3,0.4746559290548237,168,163,32,289,32,False,
6,50-59,0.6899049343594387,0.050386775669852,3,0.5512448767824099,242,237,47,323,47,False,
7,60-69,0.7633324934912237,0.010524531920934258,3,0.466881583575067,322,317,63,417,63,False,
8,70-79,0.6483040596119417,0.0572521056623874,3,0.36370748950253856,421,419,83,413,83,False,0.4317027144723473
