age_from,age_to,k,mean_stability,median_stability,min_stability,num_nodes
1,2,25,0.22068783634739747,0.19047619047619047,0.02040816326530612,131
2,3,25,0.18055488214158816,0.13636363636363635,0.0,131
3,4,25,0.2762020760861962,0.28205128205128205,0.0,131
4,5,25,0.3630976770336357,0.3888888888888889,0.0,131
5,6,25,0.4100293202078716,0.47058823529411764,0.041666666666666664,131
6,7,25,0.46382271022371446,0.5151515151515151,0.02040816326530612,131
7,8,25,0.3953673370079759,0.42857142857142855,0.0,131
