age_group,residual_error,num_anchors,scale
1,0.0,1080,1.0
2,0.047010358422994614,1080,979.154541015625
3,0.05027160793542862,1080,834.2998046875
4,0.056624460965394974,1080,831.8153686523438
5,0.057857364416122437,1080,879.7310180664062
6,0.05832252651453018,1080,838.0473022460938
7,0.05797594413161278,1080,724.4813842773438
8,0.056566640734672546,1080,663.4554443359375
