age,age_range,nodes,edges,density,mean_degree,components,n_isolates,isolate_frac
1,0-9,1080,425,0.000729,0.79,948,944,0.8741
2,10-19,1080,120,0.000206,0.22,1000,981,0.9083
3,20-29,1080,312,0.000535,0.58,958,948,0.8778
4,30-39,1080,631,0.001083,1.17,882,872,0.8074
5,40-49,1080,1489,0.002556,2.76,772,770,0.713
6,50-59,1080,2456,0.004215,4.55,717,714,0.6611
7,60-69,1080,3224,0.005533,5.97,709,706,0.6537
8,70-79,1080,3663,0.006287,6.78,722,721,0.6676
