node,mean_drift
H30-H36,2.3534432309014455
H49-H52,2.0491269571440562
H53-H54,1.9432459601334162
H46-H48,1.901576322636434
L60-L75,1.7426342964172363
A50-A64,1.6492696606687136
K35-K38,1.5940529448645455
G35-G37,1.5361243901508195
M95-M99,1.5204564843858992
N20-N23,1.4897751808166504
L80-L99,1.4705147232328142
N60-N64,1.4127762631646223
B15-B19,1.3973079494067602
A65-A69,1.3697797395288944
H80-H83,1.3455274615968977
L55-L59,1.3310555762478284
K65-K67,1.324961074760982
M40-M54,1.2811161960874284
N80-N98,1.25510288136346
N99-N99,1.230127384087869
