age_from,age_to,mean_drift,median_drift,max_drift,num_nodes
1,2,1.1380238583922841,1.0497249364852905,4.628537654876709,131
2,3,1.49735521456895,1.5565088987350464,5.2126970291137695,131
3,4,1.3149858802727616,1.342482566833496,4.541443347930908,131
4,5,1.0761687615957425,1.1146713495254517,3.2890679836273193,131
5,6,1.0549452998142206,1.017767310142517,2.9144327640533447,131
6,7,0.8671118102342118,0.8337883353233337,2.335261344909668,131
7,8,0.8437670535543038,0.7802895307540894,3.032546281814575,131
