age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
2,3,1.6304679181840684,1.4721912145614624,2.141021251678467,46,9,0.1957,0.8043,0.5652
3,4,1.2291503727436066,0.7446735203266144,5.61289644241333,46,20,0.4348,0.5652,0.3478
4,5,1.104694281021754,0.8455297946929932,4.498783588409424,46,30,0.6522,0.3478,0.1304
5,6,0.9233457107096911,0.8921294212341309,2.011220932006836,46,40,0.8696,0.1304,0.0435
6,7,0.9095354681444723,0.8374049663543701,2.1120493412017822,46,43,0.9348,0.0435,0.0435
7,8,0.8288471868092363,0.7201412320137024,2.299283027648926,46,44,0.9565,0.0435,0.0435
