age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
2,10-19,,,0,,6,0,0,0,0,False,
3,20-29,,,0,0.2372549019607843,35,30,0,0,0,False,
4,30-39,0.6853741496598639,0.10078593462604798,3,0.5065946711516331,78,71,14,136,14,False,
5,40-49,0.6579468886246532,0.05241166862456109,3,0.42387181432349863,152,147,29,254,29,False,
6,50-59,0.7167590027700831,0.048578575984948955,3,0.4198739968499213,200,192,38,385,38,False,
7,60-69,0.7774234693877551,0.03170974976372006,3,0.31177199375865056,285,282,56,422,56,False,
8,70-79,0.7875096268290975,0.03294228186570592,3,0.3970147307948864,346,346,69,503,69,False,0.40747742070993487
