age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
2,10-19,,,0,,6,0,0,0,0,False,
3,20-29,,,0,-0.11932773109243698,35,30,0,0,0,False,
4,30-39,0.7176870748299319,0.04193478913584342,3,0.48823328570164015,78,71,14,136,14,False,
5,40-49,0.5984938565200159,0.02437493755294776,3,0.3625434837580902,152,147,29,254,29,False,
6,50-59,0.6087257617728532,0.06907873041295012,3,0.4437770944273608,200,192,38,385,38,False,
7,60-69,0.7441539115646258,0.043521302024725136,3,0.3307552343875546,285,282,56,422,56,False,
8,70-79,0.7331092907652454,0.03827429447202017,3,0.4369662630829145,346,346,69,503,69,False,0.3753413148498214
