age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
1,2,1.9028772882052831,1.952932596206665,3.0201125144958496,1080,42,0.0389,0.8972,0.8991
2,3,2.5353939359107716,2.296638250350952,4.91350793838501,1080,89,0.0824,0.8991,0.8593
3,4,2.691075522714937,2.455370545387268,5.7193074226379395,1080,142,0.1315,0.8593,0.8148
4,5,2.7232938427874385,2.514278531074524,5.3896002769470215,1080,188,0.1741,0.8148,0.7278
5,6,2.559744592522343,2.5405986309051514,5.658810138702393,1080,271,0.2509,0.7278,0.6917
6,7,2.4015808310601616,2.2840288877487183,5.693940162658691,1080,308,0.2852,0.6917,0.663
7,8,2.4211494878360202,2.2787235975265503,6.823300361633301,1080,350,0.3241,0.663,0.6444
