age_from,age_to,k,k_eff,mean_stability,median_stability,min_stability,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to,low_n_warning
1,2,25,25,0.5061558865940428,0.5625,0.1111111111111111,131,57,0.4351,0.4504,0.4809,False
2,3,25,25,0.39279851646813313,0.4087301587301587,0.16279069767441862,131,62,0.4733,0.4809,0.374,False
3,4,25,25,0.4534368740048372,0.5151515151515151,0.06382978723404255,131,80,0.6107,0.374,0.2672,False
4,5,25,25,0.4947986659185962,0.5151515151515151,0.08695652173913043,131,95,0.7252,0.2672,0.2137,False
5,6,25,25,0.5009508901678021,0.5151515151515151,0.28205128205128205,131,101,0.771,0.2137,0.1679,False
6,7,25,25,0.49398632166045997,0.5151515151515151,0.25,131,109,0.8321,0.1679,0.1527,False
7,8,25,25,0.4761095618774456,0.47058823529411764,0.16279069767441862,131,105,0.8015,0.1527,0.1908,False
