age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
1,2,1.808250679856255,1.8043065071105957,2.97287654876709,1080,42,0.0389,0.8972,0.8991
2,3,2.4708613733227334,2.1885316371917725,5.042453765869141,1080,89,0.0824,0.8991,0.8593
3,4,2.472398174480653,2.1830395460128784,5.210187911987305,1080,142,0.1315,0.8593,0.8148
4,5,2.4922343026450338,2.2903287410736084,5.263344764709473,1080,188,0.1741,0.8148,0.7278
5,6,2.353430587867089,2.2942755222320557,5.546682834625244,1080,271,0.2509,0.7278,0.6917
6,7,2.205632076247946,2.109618663787842,5.137655735015869,1080,308,0.2852,0.6917,0.663
7,8,2.252660084792546,2.143333911895752,5.289808750152588,1080,350,0.3241,0.663,0.6444
