age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
2,3,1.718413206247183,1.6163716316223145,2.7259931564331055,46,13,0.2826,0.6957,0.5435
3,4,0.999334971110026,0.7279684543609619,2.1748361587524414,46,21,0.4565,0.5435,0.3043
4,5,0.8497217940166593,0.637158215045929,2.812990427017212,46,32,0.6957,0.3043,0.1739
5,6,0.6893443908346327,0.6994239687919617,1.653733491897583,46,38,0.8261,0.1739,0.1087
6,7,0.7153298020362854,0.5935186445713043,1.7523345947265625,46,40,0.8696,0.1087,0.0652
7,8,0.629048750497574,0.5463611483573914,1.5128992795944214,46,43,0.9348,0.0652,0.0652
