age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
1,2,1.3917272131321794,1.1841602325439453,4.1009135246276855,131,59,0.4504,0.4885,0.4122
2,3,1.4789026481764658,1.3492137789726257,3.691912889480591,131,70,0.5344,0.4122,0.3588
3,4,1.375951638928166,1.1768351793289185,4.334659099578857,131,81,0.6183,0.3588,0.2748
4,5,1.0990674777697491,1.003378987312317,3.2962253093719482,131,93,0.7099,0.2748,0.2366
5,6,0.950183144121459,0.8601327538490295,2.375701904296875,131,99,0.7557,0.2366,0.2061
6,7,0.8796575181186199,0.7787027060985565,2.2730624675750732,131,104,0.7939,0.2061,0.1679
7,8,0.8016082040137715,0.7462252974510193,1.7693369388580322,131,108,0.8244,0.1679,0.1374
