age_from,age_to,k,mean_stability,median_stability,min_stability,num_nodes
1,2,25,0.019168322790320397,0.0,0.0,1080
2,3,25,0.024918533185015822,0.0,0.0,1080
3,4,25,0.05390106749222889,0.0,0.0,1080
4,5,25,0.06946821720784471,0.02040816326530612,0.0,1080
5,6,25,0.1055026932864043,0.02040816326530612,0.0,1080
6,7,25,0.12225098300730987,0.02040816326530612,0.0,1080
7,8,25,0.1290887231594173,0.02040816326530612,0.0,1080
