age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
1,2,1.3530629004462291,1.1778411865234375,4.1810302734375,131,59,0.4504,0.4885,0.4122
2,3,1.4246162142072405,1.2243642210960388,3.802337408065796,131,70,0.5344,0.4122,0.3588
3,4,1.3314786222245958,1.1103429794311523,4.27054500579834,131,81,0.6183,0.3588,0.2748
4,5,1.0784772342892104,1.0098967552185059,3.2541301250457764,131,93,0.7099,0.2748,0.2366
5,6,0.9306682980421818,0.8309717178344727,2.422023057937622,131,99,0.7557,0.2366,0.2061
6,7,0.885237455368042,0.8394745588302612,2.077202558517456,131,104,0.7939,0.2061,0.1679
7,8,0.8215369482835134,0.773554116487503,1.6630386114120483,131,108,0.8244,0.1679,0.1374
