node,mean_drift
H46-H48,2.5764357591313973
G35-G37,2.160126912806715
L60-L75,1.9672243254525321
H30-H36,1.9376690893300943
A50-A64,1.9057948584003108
H53-H54,1.654197701386043
L00-L08,1.6469146779605321
M95-M99,1.6387104477201189
N20-N23,1.6288755961826868
K35-K38,1.6248395442962646
H49-H52,1.6009182929992676
L80-L99,1.5803579773221696
L55-L59,1.4601478252027715
K65-K67,1.4588042327335902
B00-B09,1.4494945236614771
A65-A69,1.4236588589847088
B15-B19,1.4145082150186812
N80-N98,1.3940408996173315
N60-N64,1.3762180533792292
K00-K14,1.3317099139094353
