age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
1,0-9,0.6579951439472772,0.01092474210754325,3,0.5138158658044345,170,156,31,409,31,False,
2,10-19,0.5113412228796844,0.08605631404879369,3,0.5768116239176047,152,133,26,347,26,False,
3,20-29,0.5743440233236151,0.07625654407384684,3,0.6221941353569947,263,248,49,747,49,False,
4,30-39,0.6254127927653305,0.017472431637155904,3,0.5430417891905769,420,406,81,1424,81,False,
5,40-49,0.7141896540939513,0.05365915029407522,3,0.48123506875148975,737,730,146,2045,146,False,
6,50-59,0.7005538238630405,0.03674730642784303,3,0.4383777381905093,945,939,187,2643,187,False,
7,60-69,0.6907786164542921,0.03720068469066604,3,0.38593988281639163,1121,1114,222,2696,222,False,
8,70-79,0.6709603532073151,0.029447056464058163,3,0.4217957130741755,1446,1438,287,3014,287,False,0.43303912879845574
