age_from,age_to,mean_drift,median_drift,max_drift,num_nodes
1,2,0.581810015508974,0.07075861096382141,7.311328411102295,1080
2,3,0.5361542007264991,0.07247506082057953,6.346250534057617,1080
3,4,0.5677399960381013,0.07280691340565681,6.813997268676758,1080
4,5,0.7391631994568916,0.07394498959183693,6.868888854980469,1080
5,6,0.7618435528991675,0.07446309179067612,7.560956954956055,1080
6,7,0.791864096145663,0.07470979169011116,4.960769176483154,1080
7,8,0.8099566139177315,0.07492246478796005,7.068007469177246,1080
