age_from,age_to,k,mean_stability,median_stability,min_stability,num_nodes
1,2,25,0.21302672435971146,0.19047619047619047,0.0,131
2,3,25,0.19438655418763648,0.16279069767441862,0.0,131
3,4,25,0.28988986867180855,0.25,0.0,131
4,5,25,0.3610948346677186,0.3888888888888889,0.0,131
5,6,25,0.38677050105057614,0.42857142857142855,0.02040816326530612,131
6,7,25,0.41872380370497925,0.42857142857142855,0.02040816326530612,131
7,8,25,0.3803653470984638,0.42857142857142855,0.0,131
