age_from,age_to,k,k_eff,mean_stability,median_stability,min_stability,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to,low_n_warning
1,2,25,25,0.403211213270802,0.42857142857142855,0.21951219512195122,1080,55,0.0509,0.8741,0.9083,False
2,3,25,25,0.39606892518125253,0.42857142857142855,0.041666666666666664,1080,74,0.0685,0.9083,0.8778,False
3,4,25,25,0.5448601871790844,0.5388257575757576,0.06382978723404255,1080,128,0.1185,0.8778,0.8074,False
4,5,25,25,0.44008866072114194,0.42857142857142855,0.02040816326530612,1080,200,0.1852,0.8074,0.713,False
5,6,25,25,0.40983174131925554,0.42857142857142855,0.0,1080,294,0.2722,0.713,0.6611,False
6,7,25,25,0.47545476005252557,0.47058823529411764,0.0,1080,333,0.3083,0.6611,0.6537,False
7,8,25,25,0.44045871099035994,0.42857142857142855,0.0,1080,340,0.3148,0.6537,0.6676,False
