age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
1,2,1.3067995864048338,1.037915587425232,3.332717180252075,131,57,0.4351,0.4504,0.4809
2,3,1.932916340328032,1.498209297657013,4.2259416580200195,131,62,0.4733,0.4809,0.374
3,4,1.4592599794268608,1.2531295418739319,3.179469585418701,131,80,0.6107,0.374,0.2672
4,5,1.112751140719966,1.0725059509277344,2.075012445449829,131,95,0.7252,0.2672,0.2137
5,6,0.9814015747887073,0.8921104073524475,1.706922173500061,131,101,0.771,0.2137,0.1679
6,7,0.9513601975156627,0.8833299875259399,2.2470970153808594,131,109,0.8321,0.1679,0.1527
7,8,0.8856697003046672,0.7972394227981567,1.8922743797302246,131,105,0.8015,0.1527,0.1908
