node,mean_drift
Dizziness,1.3864572445551555
Urinary tract calculi,1.3279573917388916
Cerebral ischemia/chronic stroke,1.1989483932654064
Atherosclerosis/PAOD,1.1903038521607716
Joint arthrosis,1.1104060746729374
Urinary incontinence,1.0569057961304982
Rheumatoid arthritis/chronic polyarthritis,0.9616956741859516
Anemia,0.9590006619691849
Intestinal diverticulosis,0.937022635092338
Chronic gastritis/GERD,0.9263433118661245
Severe hearing loss,0.9121035765856504
Renal insufficiency,0.8508911530176798
Chronic low back pain,0.7578920780991515
Hemorrhoids,0.7462941904862722
Diabetes mellitus,0.7283843805392584
Insomnia,0.7237469206253687
Thyroid diseases,0.7114744087060293
Dementia,0.6791024670625726
Depression,0.6594652086496353
Migraine/chronic headache,0.6544699321190516
