node,mean_drift
N40-N51,2.5296370131628856
M95-M99,2.3375806467873708
L60-L75,2.253101566008159
H60-H62,2.2463429485048567
H80-H83,2.1154716185161044
N20-N23,2.0261206797191074
H30-H36,2.0034200559769357
B15-B19,1.9965506792068481
L00-L08,1.9773601463862829
H25-H28,1.963846178991454
M40-M54,1.8475927795682634
F20-F29,1.7695398671286446
B00-B09,1.759780900818961
F60-F69,1.7511406115123205
B35-B49,1.7258627925600325
L50-L54,1.7254175628934587
J30-J39,1.6916771956852503
A65-A69,1.6838469877839088
A50-A64,1.6815563796886377
L80-L99,1.680979551481349
