node,mean_drift
Urinary tract calculi,1.8934674461682637
Cerebral ischemia/chronic stroke,1.5862729748090107
Dizziness,1.5769277513027191
Atherosclerosis/PAOD,1.5381974975268047
Joint arthrosis,1.4205843781431515
Urinary incontinence,1.3239891628424327
Severe hearing loss,1.3192547758420308
Intestinal diverticulosis,1.204728728160262
Rheumatoid arthritis/chronic polyarthritis,1.160993391647935
Anemia,1.1285635729630787
Chronic gastritis/GERD,1.0833459794521332
Chronic low back pain,0.9971461892127991
Severe vision reduction,0.9863848267123103
Hypotension,0.9697299366816878
Renal insufficiency,0.962018609046936
Insomnia,0.9113377730051676
Dementia,0.8718169735123714
Hemorrhoids,0.8702684020002683
Osteoporosis,0.7913991181800762
Thyroid diseases,0.7773340294758478
