age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
1,0-9,0.6272386505622657,0.023870058950094208,3,0.38810761303058466,253,246,49,643,49,False,
2,10-19,0.441358024691358,0.029710965181468412,3,0.4621478734317052,115,92,18,223,18,False,
3,20-29,0.5985082304526749,0.00346983990823872,3,0.5448743512427163,203,183,36,509,36,False,
4,30-39,0.665740924419758,0.04082572789445551,3,0.49996346450808193,373,357,71,1291,71,False,
5,40-49,0.6619700007425559,0.012052787894278452,3,0.4816220216230368,680,674,134,2154,134,False,
6,50-59,0.6906404646209742,0.03603117568896361,3,0.3897163077381394,974,969,193,2701,193,False,
7,60-69,0.7159286120325081,0.02302834992644985,3,0.4019600931576052,1162,1155,231,2855,231,False,
8,70-79,0.7110799153645834,0.02701152867798687,3,0.3992410475019676,1290,1283,256,2674,256,False,0.4347686767578125
