node,mean_drift
N40-N51,2.3584255320685252
M95-M99,2.1628180742263794
N20-N23,2.049597825322832
L60-L75,1.9185257979801722
H60-H62,1.9140057393482752
H80-H83,1.8614878143583025
H30-H36,1.7699430489114352
H25-H28,1.666766193296228
M40-M54,1.6373220341546195
N10-N16,1.5917214410645621
L00-L08,1.5621386936732702
B15-B19,1.5490324667521886
N30-N39,1.543504306248256
A65-A69,1.5432120125208582
L80-L99,1.4724483979599816
J30-J39,1.452831711087908
F20-F29,1.4289704050336565
A50-A64,1.4229151675743716
M60-M79,1.4182910748890467
M80-M94,1.408757243837629
