age_from,age_to,k,mean_stability,median_stability,min_stability,num_nodes
1,2,25,0.21961872813117497,0.16279069767441862,0.0,131
2,3,25,0.1846662971613417,0.13636363636363635,0.0,131
3,4,25,0.28313283927475685,0.25,0.0,131
4,5,25,0.3484002023236218,0.3888888888888889,0.0,131
5,6,25,0.3860598610984201,0.42857142857142855,0.02040816326530612,131
6,7,25,0.4335666141664863,0.47058823529411764,0.0,131
7,8,25,0.35166285359359645,0.3888888888888889,0.0,131
