age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
1,0-9,0.6861030126336249,0.05118894645171902,3,0.3656734113769376,253,246,49,643,49,False,
2,10-19,0.42283950617283955,0.032173859611341345,3,0.5252347510455299,115,92,18,223,18,False,
3,20-29,0.5961934156378601,0.019462535403696073,3,0.5674750610384133,203,183,36,509,36,False,
4,30-39,0.6316868346227601,0.06755582291699115,3,0.5401385469868719,373,357,71,1291,71,False,
5,40-49,0.6581458379743076,0.0213686984768812,3,0.4778800279819454,680,674,134,2154,134,False,
6,50-59,0.6955891433327069,0.02343981765476328,3,0.4662570171766101,974,969,193,2701,193,False,
7,60-69,0.7235371650956065,0.030679052510184844,3,0.4343390192060323,1162,1155,231,2855,231,False,
8,70-79,0.7127227783203125,0.018264640907501295,3,0.4574021332613862,1290,1283,256,2674,256,False,0.4013214111328125
