age_from,age_to,node,drift
1,2,I24,0.07185535132884979
1,2,M05,0.06654796004295349
1,2,J85,0.06592225283384323
1,2,A65,0.07362155616283417
1,2,J82,0.058502741158008575
1,2,M31,0.07210267335176468
1,2,J93,0.06975311040878296
1,2,I70,0.06330690532922745
1,2,M54,5.217289924621582
1,2,E14,5.601785182952881
1,2,F90,3.519948959350586
1,2,N80,4.883007049560547
1,2,L28,0.0662379339337349
1,2,J81,0.06426458805799484
1,2,H92,3.773573637008667
1,2,H70,4.098618507385254
1,2,E88,0.06895940750837326
1,2,C97,0.07236868888139725
1,2,B79,0.07067135721445084
1,2,I21,0.0690251961350441
1,2,M92,0.0644238218665123
1,2,B39,0.06403415650129318
1,2,M86,0.06742322444915771
1,2,B48,0.07577262073755264
1,2,G92,0.07288815081119537
1,2,N29,0.06381222605705261
1,2,A04,3.6158409118652344
1,2,D83,0.0671432688832283
1,2,J06,1.8154126405715942
1,2,J16,0.06637876480817795
1,2,M80,0.07225111126899719
1,2,B83,0.07185221463441849
1,2,F66,0.06938809901475906
1,2,A53,0.06892703473567963
1,2,F16,0.06299319863319397
1,2,A27,0.06464751064777374
1,2,A70,0.06760106235742569
1,2,J94,0.067668117582798
1,2,N48,0.06776579469442368
1,2,L42,0.06731326878070831
1,2,H42,0.06792096048593521
1,2,B82,0.07194436341524124
1,2,D11,0.06695303320884705
1,2,I84,0.07035716623067856
1,2,N40,0.07114822417497635
1,2,C34,0.07494232803583145
1,2,E86,1.746025800704956
1,2,L02,0.06823384016752243
1,2,N94,4.915365219116211
1,2,K75,0.06703035533428192
1,2,E60,0.07454399019479752
1,2,G95,0.06871462613344193
1,2,D69,3.8048956394195557
1,2,M53,0.06206069514155388
1,2,F60,3.869661808013916
1,2,B88,0.061853520572185516
1,2,M91,0.06805069744586945
1,2,C17,0.06187818571925163
1,2,K91,0.0653320774435997
1,2,J33,0.07257286459207535
1,2,N63,0.07321404665708542
1,2,L01,0.07060487568378448
1,2,C64,0.06364838033914566
1,2,I41,0.07195931673049927
1,2,C22,0.06862454116344452
1,2,F92,3.962440252304077
1,2,D52,0.07495881617069244
1,2,B35,0.06783665716648102
1,2,N03,0.06843721866607666
1,2,M24,0.07085492461919785
1,2,C65,0.06673073768615723
1,2,D59,0.06802704930305481
1,2,E80,0.06878040730953217
1,2,C08,0.06613746285438538
1,2,E02,0.06739513576030731
1,2,B37,3.5546319484710693
1,2,I43,0.07004737854003906
1,2,N04,0.07070086151361465
1,2,N45,0.0773201584815979
1,2,I42,0.07294543832540512
1,2,E00,0.07036617398262024
1,2,J95,0.06536589562892914
1,2,L45,0.06953131407499313
1,2,I64,0.07084742933511734
1,2,E27,0.06260301172733307
1,2,H48,0.07565368711948395
1,2,A34,0.06929799169301987
1,2,N95,0.07329107075929642
1,2,H93,5.65727424621582
1,2,A39,0.06705989688634872
1,2,H04,0.07305193692445755
1,2,J12,3.5761609077453613
1,2,D41,0.060812417417764664
1,2,G32,0.06745820492506027
1,2,L73,0.06518588960170746
1,2,N84,0.06815298646688461
1,2,J98,3.470226526260376
1,2,B50,0.06974665820598602
1,2,I50,0.06988497078418732
1,2,N12,1.309528112411499
1,2,E89,0.06342770159244537
1,2,G26,0.07069767266511917
1,2,I35,0.07093941420316696
1,2,M61,0.07133650779724121
1,2,A88,0.06737318634986877
1,2,F89,4.125621795654297
1,2,C04,0.06906778365373611
1,2,E78,4.0284857749938965
1,2,K30,0.07137211412191391
1,2,K65,6.179233551025391
1,2,D12,0.06979205459356308
1,2,N28,3.9792394638061523
1,2,E70,0.06769272685050964
