age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
1,2,1.9027367177463712,1.8549967408180237,3.2810592651367188,1080,42,0.0389,0.8972,0.8991
2,3,2.5678964525126338,2.494548797607422,4.758123397827148,1080,89,0.0824,0.8991,0.8593
3,4,2.4899773564137204,2.197467803955078,5.822317123413086,1080,142,0.1315,0.8593,0.8148
4,5,2.445983477412386,2.2150213718414307,5.5169596672058105,1080,188,0.1741,0.8148,0.7278
5,6,2.339045090209074,2.2399449348449707,5.320427417755127,1080,271,0.2509,0.7278,0.6917
6,7,2.1625713404122884,2.1020255088806152,5.271553993225098,1080,308,0.2852,0.6917,0.663
7,8,2.167998050110681,2.043818712234497,5.952761173248291,1080,350,0.3241,0.663,0.6444
