age_from,age_to,node,knn_stability
1,2,N99-N99,0.13636363636363635
1,2,B50-B64,0.1111111111111111
1,2,B95-B98,0.08695652173913043
1,2,A15-A19,0.19047619047619047
1,2,K50-K52,0.35135135135135137
1,2,N10-N16,0.06382978723404255
1,2,M95-M99,0.06382978723404255
1,2,E70-E90,0.3888888888888889
1,2,I60-I69,0.3888888888888889
1,2,L00-L08,0.13636363636363635
1,2,E10-E14,0.25
1,2,A65-A69,0.21951219512195122
1,2,G35-G37,0.19047619047619047
1,2,H55-H59,0.16279069767441862
1,2,B20-B24,0.08695652173913043
1,2,H65-H75,0.5151515151515151
1,2,A50-A64,0.19047619047619047
1,2,J00-J06,0.3888888888888889
1,2,K35-K38,0.1111111111111111
1,2,C00-C97,0.47058823529411764
1,2,E40-E46,0.21951219512195122
1,2,F10-F19,0.041666666666666664
1,2,J80-J84,0.13636363636363635
1,2,N30-N39,0.08695652173913043
1,2,N25-N29,0.19047619047619047
1,2,D50-D53,0.28205128205128205
1,2,G00-G09,0.25
1,2,B85-B89,0.041666666666666664
1,2,D10-D36,0.3888888888888889
1,2,L50-L54,0.28205128205128205
1,2,D55-D59,0.02040816326530612
1,2,F60-F69,0.19047619047619047
1,2,D80-D89,0.041666666666666664
1,2,I70-I79,0.13636363636363635
1,2,K80-K87,0.08695652173913043
1,2,L40-L45,0.1111111111111111
1,2,G80-G83,0.3888888888888889
1,2,J20-J22,0.3157894736842105
1,2,K40-K46,0.21951219512195122
1,2,B65-B83,0.19047619047619047
1,2,F80-F89,0.42857142857142855
1,2,F40-F48,0.3888888888888889
1,2,I95-I99,0.21951219512195122
1,2,J90-J94,0.28205128205128205
1,2,F70-F79,0.42857142857142855
1,2,J30-J39,0.5625
1,2,N40-N51,0.041666666666666664
1,2,J95-J99,0.25
1,2,M60-M79,0.5151515151515151
1,2,H46-H48,0.13636363636363635
1,2,H15-H22,0.06382978723404255
1,2,F30-F39,0.02040816326530612
1,2,H80-H83,0.08695652173913043
1,2,N70-N77,0.08695652173913043
1,2,K55-K64,0.35135135135135137
1,2,M40-M54,0.13636363636363635
1,2,I26-I28,0.21951219512195122
1,2,E65-E68,0.19047619047619047
1,2,B15-B19,0.1111111111111111
1,2,N00-N08,0.13636363636363635
1,2,J09-J18,0.25
1,2,M80-M94,0.5151515151515151
1,2,F99-F99,0.08695652173913043
1,2,D65-D69,0.3157894736842105
1,2,A30-A49,0.3888888888888889
1,2,B25-B34,0.35135135135135137
1,2,K65-K67,0.1111111111111111
1,2,F00-F09,0.041666666666666664
1,2,L55-L59,0.1111111111111111
1,2,A70-A74,0.1111111111111111
1,2,K20-K31,0.3157894736842105
1,2,D70-D77,0.35135135135135137
1,2,H90-H95,0.47058823529411764
1,2,K90-K93,0.35135135135135137
1,2,B90-B94,0.1111111111111111
1,2,K00-K14,0.35135135135135137
1,2,F20-F29,0.02040816326530612
1,2,E50-E64,0.1111111111111111
1,2,A20-A28,0.13636363636363635
1,2,E15-E16,0.3157894736842105
1,2,H49-H52,0.42857142857142855
1,2,L60-L75,0.06382978723404255
1,2,N17-N19,0.19047619047619047
1,2,H30-H36,0.16279069767441862
1,2,E00-E07,0.041666666666666664
1,2,H00-H06,0.13636363636363635
1,2,I80-I89,0.06382978723404255
1,2,H25-H28,0.1111111111111111
1,2,J60-J70,0.19047619047619047
1,2,K70-K77,0.3157894736842105
1,2,G60-G64,0.06382978723404255
1,2,D60-D64,0.3888888888888889
1,2,L10-L14,0.06382978723404255
1,2,H40-H42,0.19047619047619047
1,2,M30-M36,0.16279069767441862
1,2,A92-A99,0.13636363636363635
1,2,A00-A09,0.25
1,2,N20-N23,0.041666666666666664
1,2,L20-L30,0.28205128205128205
1,2,H10-H13,0.16279069767441862
1,2,B35-B49,0.041666666666666664
1,2,D00-D09,0.08695652173913043
1,2,A80-A89,0.25
1,2,M00-M25,0.5625
1,2,I20-I25,0.13636363636363635
1,2,B99-B99,0.35135135135135137
1,2,J85-J86,0.041666666666666664
1,2,D37-D48,0.47058823529411764
1,2,I00-I02,0.041666666666666664
1,2,L80-L99,0.16279069767441862
1,2,I10-I15,0.02040816326530612
1,2,G30-G32,0.041666666666666664
1,2,I05-I09,0.13636363636363635
1,2,H60-H62,0.42857142857142855
1,2,B00-B09,0.35135135135135137
1,2,F50-F59,0.0
1,2,G50-G59,0.21951219512195122
1,2,H43-H45,0.02040816326530612
1,2,E20-E36,0.35135135135135137
1,2,I30-I52,0.28205128205128205
1,2,G10-G14,0.08695652173913043
1,2,F90-F98,0.3888888888888889
1,2,G20-G26,0.16279069767441862
1,2,H53-H54,0.35135135135135137
1,2,N80-N98,0.16279069767441862
1,2,G70-G73,0.19047619047619047
1,2,G40-G47,0.42857142857142855
1,2,J40-J47,0.3157894736842105
1,2,N60-N64,0.041666666666666664
1,2,G90-G99,0.42857142857142855
1,2,A75-A79,0.1111111111111111
2,3,N99-N99,0.1111111111111111
2,3,B50-B64,0.13636363636363635
2,3,B95-B98,0.041666666666666664
2,3,A15-A19,0.08695652173913043
2,3,K50-K52,0.3157894736842105
2,3,N10-N16,0.25
2,3,M95-M99,0.08695652173913043
2,3,E70-E90,0.28205128205128205
2,3,I60-I69,0.3157894736842105
2,3,L00-L08,0.1111111111111111
2,3,E10-E14,0.3157894736842105
2,3,A65-A69,0.06382978723404255
2,3,G35-G37,0.21951219512195122
2,3,H55-H59,0.25
2,3,B20-B24,0.06382978723404255
2,3,H65-H75,0.19047619047619047
2,3,A50-A64,0.041666666666666664
2,3,J00-J06,0.35135135135135137
2,3,K35-K38,0.06382978723404255
2,3,C00-C97,0.13636363636363635
2,3,E40-E46,0.041666666666666664
2,3,F10-F19,0.3157894736842105
