age,age_range,nodes,edges,density,mean_degree,components,n_isolates,isolate_frac
1,0-9,131,253,0.029712,3.86,61,59,0.4504
2,10-19,131,115,0.013506,1.76,67,63,0.4809
3,20-29,131,203,0.02384,3.1,53,49,0.374
4,30-39,131,373,0.043805,5.69,36,35,0.2672
5,40-49,131,680,0.079859,10.38,29,28,0.2137
6,50-59,131,974,0.114386,14.87,23,22,0.1679
7,60-69,131,1162,0.136465,17.74,21,20,0.1527
8,70-79,131,1290,0.151497,19.69,26,25,0.1908
