age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
1,0-9,0.6563931695127031,0.04940668930058112,3,0.5436449890404017,253,246,49,643,49,False,
2,10-19,0.5504115226337449,0.020983619397501162,3,0.6602856466503592,115,92,18,223,18,False,
3,20-29,0.6278292181069959,0.028742212026129553,3,0.6292995860003271,203,183,36,509,36,False,
4,30-39,0.6634265688024863,0.062316668842357155,3,0.5715126757345599,373,357,71,1291,71,False,
5,40-49,0.70416573847182,0.022387967343605857,3,0.5037745476500242,680,674,134,2154,134,False,
6,50-59,0.7266951238064557,0.009978526505095096,3,0.47833202355235654,974,969,193,2701,193,False,
7,60-69,0.7590125122592655,0.03887321140794938,3,0.43605383771406897,1162,1155,231,2855,231,False,
8,70-79,0.7685699462890625,0.022555886556176505,3,0.3745340793531642,1290,1283,256,2674,256,False,0.428680419921875
