age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
1,0-9,0.5573638042474607,0.09018851648850566,3,0.567531403586446,425,383,76,1316,76,False,
2,10-19,0.45629629629629626,0.06714233596222018,3,0.5893048128342244,120,76,15,195,15,False,
3,20-29,0.6003322653376053,0.024896721379298565,3,0.6602908509876654,312,267,53,834,53,False,
4,30-39,0.6514933837429111,0.06275139061787391,3,0.706826998487814,631,576,115,3379,115,False,
5,40-49,0.6395349798320439,0.013605028227611572,3,0.7438386407589407,1489,1424,284,13496,284,False,
6,50-59,0.6239525160040382,0.019642866143211608,3,0.7036164629814881,2456,2393,478,23455,478,False,
7,60-69,0.6327244478038129,0.02606429227375288,3,0.6847772147966903,3224,3152,630,29331,630,False,
8,70-79,0.6281640845892308,0.013442169086151097,3,0.620896129383552,3663,3595,719,33787,719,False,0.48576004766316994
