age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
1,2,2.007444027337161,1.9969021081924438,3.815178871154785,1080,55,0.0509,0.8741,0.9083
2,3,2.582634631040934,2.4045172929763794,5.712636470794678,1080,74,0.0685,0.9083,0.8778
3,4,1.8698846544139087,1.7843331098556519,4.988883972167969,1080,128,0.1185,0.8778,0.8074
4,5,2.3210573118925093,2.1928240060806274,5.226420879364014,1080,200,0.1852,0.8074,0.713
5,6,2.201577204222582,2.155368208885193,5.5632004737854,1080,294,0.2722,0.713,0.6611
6,7,2.049694279650668,2.0701403617858887,6.1780476570129395,1080,333,0.3083,0.6611,0.6537
7,8,1.9707872292574715,1.995564341545105,6.2678656578063965,1080,340,0.3148,0.6537,0.6676
