age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
1,2,2.03083613656816,2.1009106636047363,3.60058331489563,1080,42,0.0389,0.8972,0.8991
2,3,2.803757785411363,2.5893661975860596,4.886892318725586,1080,89,0.0824,0.8991,0.8593
3,4,2.5937095574090177,2.2809871435165405,5.611478805541992,1080,142,0.1315,0.8593,0.8148
4,5,2.641325168787165,2.412980318069458,5.192630767822266,1080,188,0.1741,0.8148,0.7278
5,6,2.548897066679388,2.4953324794769287,5.382002830505371,1080,271,0.2509,0.7278,0.6917
6,7,2.3651391819312977,2.242337942123413,5.9680705070495605,1080,308,0.2852,0.6917,0.663
7,8,2.2913035564763207,2.104980230331421,5.612374305725098,1080,350,0.3241,0.663,0.6444
