node,mean_drift
H46-H48,2.768176542328937
L60-L75,2.4699704476765225
G35-G37,2.352572457066604
A50-A64,2.2901942474501475
K35-K38,2.186555641038077
M95-M99,2.1410219839641025
H30-H36,2.0826183365924016
B15-B19,1.9987784794398717
K65-K67,1.9168387992041451
L80-L99,1.900715947151184
N60-N64,1.8365169907254832
L55-L59,1.83304044178554
B00-B09,1.821431577205658
N99-N99,1.8141156403081757
H80-H83,1.7515592575073242
N20-N23,1.709280593054635
H53-H54,1.6878500580787659
H49-H52,1.669062682560512
K00-K14,1.611395902399506
F20-F29,1.569300889968872
