age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
1,0-9,0.6427169898430286,0.07223732716103402,3,0.5521455034312422,425,383,76,1316,76,False,
2,10-19,0.48444444444444446,0.05703222682939306,3,0.5784429474269046,120,76,15,195,15,False,
3,20-29,0.6291681499940667,0.014394360723489642,3,0.7032614253010173,312,267,53,834,53,False,
4,30-39,0.6634908632640201,0.01218030388493023,3,0.724242927928057,631,576,115,3379,115,False,
5,40-49,0.6393490048270846,0.02586680357704911,3,0.754630572964095,1489,1424,284,13496,284,False,
6,50-59,0.6111237548362248,0.012734869164504222,3,0.7145819876789221,2456,2393,478,23455,478,False,
7,60-69,0.6571924078273285,0.006408905189653203,3,0.6942146727307692,3224,3152,630,29331,630,False,
8,70-79,0.6410986515423793,0.01582933447405389,3,0.613548241487075,3663,3595,719,33787,719,False,0.5045196833029958
