age,age_range,nodes,edges,density,mean_degree,components,n_isolates,isolate_frac
1,0-9,1080,278,0.000477,0.51,973,969,0.8972
2,10-19,1080,156,0.000268,0.29,980,971,0.8991
3,20-29,1080,347,0.000596,0.64,940,928,0.8593
4,30-39,1080,607,0.001042,1.12,884,880,0.8148
5,40-49,1080,1352,0.00232,2.5,789,786,0.7278
6,50-59,1080,2009,0.003448,3.72,749,747,0.6917
7,60-69,1080,2642,0.004534,4.89,718,716,0.663
8,70-79,1080,4181,0.007176,7.74,697,696,0.6444
