age_group,num_anchors_non_iso,residual_per_anchor,low_anchor_warning
1,111,0.0,False
2,42,0.30826327204704285,False
3,36,0.3234083652496338,False
4,41,0.3016457259654999,False
5,56,0.2994663119316101,False
6,62,0.29337361454963684,False
7,65,0.2985939681529999,False
8,68,0.3053929805755615,False
