age_from,age_to,k,k_eff,mean_stability,median_stability,min_stability,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to,low_n_warning
1,2,25,25,0.47032944070210025,0.47058823529411764,0.28205128205128205,1080,42,0.0389,0.8972,0.8991,False
2,3,25,25,0.4344919860253718,0.42857142857142855,0.041666666666666664,1080,89,0.0824,0.8991,0.8593,False
3,4,25,25,0.5060025359819467,0.5151515151515151,0.0,1080,142,0.1315,0.8593,0.8148,False
4,5,25,25,0.5368719546870016,0.5151515151515151,0.06382978723404255,1080,188,0.1741,0.8148,0.7278,False
5,6,25,25,0.4732550896142189,0.42857142857142855,0.0,1080,271,0.2509,0.7278,0.6917,False
6,7,25,25,0.4423441550650007,0.42857142857142855,0.0,1080,308,0.2852,0.6917,0.663,False
7,8,25,25,0.35174226641243744,0.28205128205128205,0.02040816326530612,1080,350,0.3241,0.663,0.6444,False
