age,age_range,nodes,edges,density,mean_degree,components,n_isolates,isolate_frac
2,10-19,46,10,0.009662,0.43,36,32,0.6957
3,20-29,46,39,0.037681,1.7,26,25,0.5435
4,30-39,46,87,0.084058,3.78,15,14,0.3043
5,40-49,46,168,0.162319,7.3,9,8,0.1739
6,50-59,46,242,0.233816,10.52,6,5,0.1087
7,60-69,46,322,0.311111,14.0,4,3,0.0652
8,70-79,46,421,0.406763,18.3,4,3,0.0652
