age_from,age_to,mean_drift,median_drift,max_drift,num_nodes
1,2,0.7035071605747497,0.06917960941791534,6.153874397277832,1080
2,3,0.6391616175848025,0.0722903199493885,5.927826881408691,1080
3,4,0.6604120786922674,0.07282308861613274,6.067634582519531,1080
4,5,0.8723396224866586,0.07371057569980621,5.884068489074707,1080
5,6,0.902008648444381,0.0744803436100483,6.373110771179199,1080
6,7,0.908321654651728,0.07447627559304237,6.016683578491211,1080
7,8,0.8785024976668259,0.07510338723659515,5.9687933921813965,1080
