node,mean_drift
Urinary tract calculi,2.0572185615698495
Urinary incontinence,1.9622307519117992
Dizziness,1.0689984280616045
Severe hearing loss,1.0365386148914695
Chronic cholecystitis/gallstones,0.9940317471822103
Hemorrhoids,0.9206105284392834
Chronic gastritis/GERD,0.862229949173828
Migraine/chronic headache,0.8604136233528455
Severe vision reduction,0.8269171097005407
Intestinal diverticulosis,0.8137982673943043
Hyperuricemia/gout,0.8064969877401987
Insomnia,0.7755071073770523
Cancer,0.7724245438973109
Tobacco abuse,0.7570186654726664
Renal insufficiency,0.7499126742283503
Diabetes mellitus,0.7475671569506327
Prostatic hyperplasia,0.7439119533325235
Rheumatoid arthritis/chronic polyarthritis,0.7398589663207531
Chronic ischemic heart disease,0.7351625661055247
Sexual dysfunction,0.7268527314687768
