age_from,age_to,k,k_eff,mean_stability,median_stability,min_stability,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to,low_n_warning
2,3,25,8,1.0,1.0,1.0,46,9,0.1957,0.8043,0.5652,True
3,4,25,19,1.0,1.0,1.0,46,20,0.4348,0.5652,0.3478,True
4,5,25,25,0.8286013688312538,0.8187830687830688,0.7241379310344828,46,30,0.6522,0.3478,0.1304,False
5,6,25,25,0.7587452663926524,0.7857142857142857,0.5151515151515151,46,40,0.8696,0.1304,0.0435,False
6,7,25,25,0.6709702931716409,0.7241379310344828,0.5151515151515151,46,43,0.9348,0.0435,0.0435,False
7,8,25,25,0.6726721953427726,0.6666666666666666,0.47058823529411764,46,44,0.9565,0.0435,0.0435,False
