age_from,age_to,mean_drift,median_drift,max_drift,num_nodes
1,2,0.5775226791285806,0.07109805941581726,7.832096576690674,1080
2,3,0.5170869529937152,0.07242705672979355,6.269402980804443,1080
3,4,0.549007700442302,0.07287073135375977,6.699344635009766,1080
4,5,0.7914110325483812,0.07389384508132935,7.546258926391602,1080
5,6,0.8136741711275169,0.07458630204200745,5.888589859008789,1080
6,7,0.8283599229495007,0.07514960691332817,8.035255432128906,1080
7,8,0.7743293732784137,0.07487888261675835,7.827974796295166,1080
