age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
2,10-19,,,0,0.12727272727272726,10,0,0,0,0,False,
3,20-29,,,0,0.4995951417004049,39,35,0,0,0,False,
4,30-39,0.65625,0.11121956512532616,3,0.24475103885689287,87,81,16,170,16,False,
5,40-49,0.669921875,0.08024864339820707,3,0.5703377690941027,168,163,32,289,32,False,
6,50-59,0.7232533574769882,0.020367296149711434,3,0.6067731254453246,242,237,47,323,47,False,
7,60-69,0.7737465356512976,0.039088132090700986,3,0.5120137749062285,322,317,63,417,63,False,
8,70-79,0.756520056128127,0.07341105198526506,3,0.4784084384955702,421,419,83,413,83,False,0.4557991000145159
