node,mean_drift,std_drift,n_transitions,chronic
C73,3.1199247805135593,2.2869141101468253,7,False
M23,3.117042507444109,0.9703308083918198,7,True
F20,3.091581344604492,1.4185027199046636,7,False
M51,3.0746567930494035,1.1252380414192509,7,True
K08,3.043926183666502,2.300065169080613,7,False
M22,3.039931978498186,0.9622965216088065,7,True
D40,3.030250053320612,1.681035336550085,7,False
M24,2.995893580572946,0.9760401427716776,7,True
C77,2.977104852242129,1.7274249213009985,7,False
M67,2.9441920007978166,0.9865215020699515,7,True
C78,2.943202015544687,1.7005949392646031,7,False
E89,2.9271370864340236,2.329110016290948,7,False
C82,2.909341744014195,2.8796101334082396,7,False
M54,2.890101603099278,1.236282911886527,7,True
N45,2.8884146032588824,2.090470428912274,7,False
M65,2.8870887756347656,1.015825355280432,7,True
M93,2.87678480467626,1.5036092593365216,7,False
H90,2.801022478512355,1.702265335924012,7,True
C71,2.7511876480919972,1.1683583391323298,7,False
C85,2.737716009574277,2.6423228894493453,7,False
K50,2.729502422469003,1.8871058568783112,7,False
C83,2.708712110561984,2.6030151622259243,7,False
K01,2.7061655446887016,2.3101490824466158,7,False
D23,2.6998421294348582,2.4607948300229174,7,False
I83,2.6868112044675008,2.159760126371972,7,True
L03,2.661314998354231,0.8284427652029741,7,False
M94,2.5993975464786803,1.3951182205934771,7,False
H50,2.5970199619020735,1.2106529841619726,7,True
I10,2.5719206162861417,0.890942395848486,7,True
K29,2.5679806811468944,1.3495726238041144,7,True
K61,2.5363351021494185,1.8344088169061743,7,False
I80,2.536295777985028,1.331504414592238,7,False
F23,2.5292193570307324,2.088785734466223,7,False
I87,2.518208830484322,2.203103310391313,7,True
M87,2.5162945240736008,2.0047001397528885,7,False
G55,2.512979714998177,1.3608552547079868,7,True
H83,2.4933964673961913,1.7769172294098134,7,False
M17,2.4926209343331203,1.4181053698251171,7,True
F13,2.488809977258955,0.968097115166459,7,False
C62,2.477974146604538,2.3296006859005245,7,False
M25,2.476034947804042,0.6272892231378571,7,True
H93,2.4709312234606062,1.4544751849750026,7,False
F45,2.4581065007618497,0.9096887743618534,7,True
K60,2.4502096431595937,1.780369220307137,7,False
D22,2.446054421365261,2.261467123407928,7,False
K44,2.443062816347395,1.498002824068681,7,False
B35,2.441606841981411,1.7638963884165904,7,False
N23,2.441594277109419,1.3553123830472171,7,False
K81,2.4371108700122153,1.2624051118528945,7,True
J01,2.4324072546192577,1.5989410596520326,7,False
N20,2.4305960961750577,1.3812493223731401,7,True
D16,2.4281932285853793,2.4280154972149544,7,False
L05,2.417958921619824,2.421977013561728,7,False
M16,2.4103988334536552,2.0659605224047075,7,True
I26,2.4078227132558823,1.3446941442486136,7,False
H65,2.4035468474030495,1.9270472152043545,7,False
E14,2.4015739134379794,1.287837137219468,7,True
K12,2.3987388515046666,2.2274742854534098,7,False
M95,2.3950484432280064,1.7236422154183957,7,False
K42,2.3883810809680392,1.7638635300196663,7,False
L72,2.363356565790517,1.839579045068974,7,False
K85,2.3587323682648793,1.2088683106086224,7,False
K40,2.3555177875927518,1.8444663568982105,7,False
K07,2.355143896171025,2.468803394879924,7,False
A46,2.3524293367351805,1.6871342192647536,7,False
E78,2.3450437102999007,0.9297908533483782,7,True
K02,2.343787877687386,2.043748690486709,7,False
I71,2.341937916619437,1.8899598295949587,7,True
K80,2.3328194224408696,1.2846200922749356,7,True
F10,2.331156543322972,0.8566114166959783,7,False
D41,2.3171452773468837,2.3964724196350176,7,False
M71,2.316930778324604,1.6896238619710062,7,True
N39,2.314980779375349,1.5687729471096539,7,True
F11,2.313809080847672,1.3705482432576317,7,False
K04,2.3024521054966107,2.01460983061097,7,False
K76,2.2959723813193187,0.9748858982003277,7,True
J38,2.289971832718168,1.8081237233529575,7,False
F32,2.2581604037966048,0.9256497286078031,7,True
C67,2.25765578768083,2.3872508183334333,7,False
M42,2.2559112768088068,1.3772526988195695,7,True
M13,2.2482721912009374,2.2502180685181243,7,True
C64,2.2367435693740845,2.2500169626143136,7,False
G51,2.2343969057713235,1.7873154122490142,7,True
J33,2.2302513463156566,1.0513590376068631,7,False
F40,2.2232542761734555,1.371225460147691,7,True
F19,2.207530351621764,1.3244694750812576,7,False
I35,2.1990021946174756,1.8794591937633693,7,True
B18,2.187007445309843,1.0684457627935757,7,False
L02,2.1835120107446397,1.411422613641084,7,False
A69,2.1773195830839023,1.948682079987207,7,False
M53,2.1761767991951535,1.3036582892536286,7,True
G47,2.148580483027867,0.9557539727460631,7,True
J96,2.145830358777727,1.3296795490216549,7,False
E66,2.136977434158325,0.6024191123100289,7,True
F17,2.1361882856913974,0.8116801108630394,7,True
C02,2.1329522132873535,3.5198936517741526,7,False
C01,2.128220641187259,3.5114909084854604,7,False
M75,2.123513102531433,1.6032538013992894,7,True
F33,2.12244256905147,0.9468556918395493,7,True
G82,2.119032447891576,1.5637813148506108,7,False
K09,2.1104458921722005,2.285210365658151,7,False
M21,2.093642991568361,1.5313997493751503,7,True
N48,2.0741856609072005,0.7025009265024205,7,True
H33,2.072276920080185,1.8390144784325344,7,True
F60,2.0654061660170555,1.3010354704911848,7,False
N18,2.059690097612994,1.168781736857486,7,True
D48,2.0568553411534856,1.9810821450965004,7,True
D17,2.0543619809406146,1.6705995323745495,7,False
C43,2.0542443288224086,1.9529687577909127,7,False
H53,2.051996980394636,2.272039566508934,7,True
N41,2.0434389550771033,1.6171931072605674,7,False
K51,2.0413814165762494,1.136634623585965,7,False
M19,2.03398718472038,1.5570028181962485,7,True
M66,2.028476237186364,1.925509375411599,7,True
D43,2.015202426484653,1.5604822856039762,7,False
K83,2.0103717244097163,1.4216493028931054,7,False
J37,2.0094987813915526,1.9955439879206922,7,False
F31,2.0054857464773312,1.0095879997751007,7,False
D68,1.9963623881340027,1.3983187370518586,7,False
F25,1.9856126755475998,1.3931916326834926,7,False
K92,1.9634020669119698,1.0455093680486192,7,False
F12,1.950507297047547,1.525489970367248,7,False
D50,1.9430274622780936,1.3146341282452518,7,True
K62,1.9396447581904275,1.386906816472507,7,False
B17,1.9350348700370108,1.3894273830030064,7,False
I84,1.9342527272445815,1.3416312312211012,7,True
E79,1.9339525210005897,1.053128962780614,7,True
K86,1.9336906714098794,1.333938867981175,7,False
K22,1.932574259383338,1.068460070292425,7,True
N31,1.9310444039957864,1.62540359945037,7,False
C20,1.9305295167224747,1.8859559948268572,7,False
K70,1.9285735530512673,1.0866834758976962,7,True
H35,1.9256927849990981,1.7495405606922396,7,True
N47,1.919093702520643,0.7686215659226538,7,False
K82,1.913935726242406,1.4091607437042226,7,False
J20,1.9106547747339522,1.1997947238812925,7,False
G41,1.91051684319973,1.529773088641016,7,False
K26,1.9086278591837202,1.051193038670118,7,True
D64,1.9078701393944877,1.3001266921634502,7,True
N46,1.9056026637554169,3.13779625009972,7,False
J90,1.9054126058306013,1.4207033620761509,7,False
F70,1.9039670516337668,1.4770709972823746,7,False
I86,1.9034553074410983,3.1323928100748955,7,True
M77,1.9000086188316345,1.7335235503895496,7,True
M62,1.8921005661998476,1.3345042814744779,7,True
K56,1.8889073303767614,0.8991785231073471,7,False
J93,1.8794828514967645,0.9479641594221824,7,False
K25,1.8785684034228325,1.096076761287582,7,True
K58,1.8538310219134604,1.0182792803148006,7,False
K71,1.8493059554270335,1.0741339524300622,7,True
F63,1.849270475762231,1.3378541680304543,7,False
E11,1.8472846735801016,1.0792223955516969,7,True
H91,1.8298639059066772,0.5470640527700013,7,True
F41,1.8220236471721105,0.6696617389013841,7,True
I67,1.8190732417362077,1.2624797831432664,7,True
M50,1.816949198288577,1.3440163763946071,7,True
G54,1.8101960590907507,1.327573021383614,7,True
N13,1.8086682898657662,0.4946465891585359,7,False
J32,1.807456306048802,0.2376433540866681,7,False
F61,1.8011535863791193,1.3553375711894553,7,False
L60,1.7984497738736016,2.9440146492532526,7,False
F06,1.7970424177391189,1.2425762948082546,7,False
H52,1.7964083296912057,0.9945598052215429,7,True
F07,1.792325003870896,1.2866186416102274,7,False
C18,1.7911024476800645,1.8383076276563712,7,False
K37,1.7821061089634895,2.4242883277660363,7,False
G43,1.7817492942724908,1.3012248623899314,7,True
M41,1.7803607668195451,1.2981177670927382,7,True
K63,1.7793186945574624,1.118115786792816,7,False
G25,1.7779972872563772,1.2684253802183012,7,False
I63,1.76612779338445,1.2324044035623838,7,False
M48,1.7575605394584792,1.2800290140279922,7,True
K21,1.7526010615485055,0.955818316964471,7,True
K35,1.7471932673028536,1.3289719118514833,7,False
M43,1.7447477408817835,1.285818690508554,7,True
E34,1.7438672802277975,2.8562593567250794,7,False
E23,1.7417226348604475,2.845201875481188,7,False
A08,1.7299736706273896,1.7178831588573302,7,False
C80,1.7243267478687423,1.7266148170357132,7,False
M79,1.7242950259574823,1.2049117747045202,7,True
I49,1.7197421682732446,1.1626309439875282,7,True
J36,1.7182589492627554,1.4920338117414127,7,False
E86,1.7154649325779505,0.5673886202379689,7,False
M99,1.7124264101896967,1.2772902855991601,7,False
I47,1.7085766419768333,1.3017803808971888,7,True
K20,1.7080297789403371,1.218391538784003,7,False
G56,1.7033255281192916,1.6327350331449983,7,True
E16,1.7017247336251395,0.592994537080155,7,False
J35,1.6996908517820495,1.227530989397754,7,False
E21,1.6990395113825798,1.232712036408571,7,False
K43,1.696255314563002,1.5119370917224493,7,False
B24,1.6948162902678763,1.5878583491672358,7,False
A41,1.6926302558609418,1.4413088109297196,7,False
I34,1.690862387418747,1.1800030606282697,7,True
G44,1.6897920167871885,1.2236649198681897,7,True
J34,1.689114315169198,0.12775841505497956,7,False
N35,1.6886219382286072,1.8022352712814007,7,False
M11,1.6839782824473721,2.074384633601737,7,True
H81,1.6815022017274583,1.173135345986702,7,True
N43,1.6813803810094083,1.5425566303877112,7,False
D53,1.6790920229894775,1.1798500954862472,7,True
N44,1.6789300835558347,2.7411038504163403,7,False
E04,1.6747799686023168,1.563586940991639,7,True
J15,1.67011366465262,1.2638347288436842,7,False
N50,1.6645287573337555,2.718151304440166,7,False
I21,1.663947154368673,1.1667125507768727,7,True
I48,1.6545867696404457,1.2341633746443903,7,True
E87,1.6519039528710502,0.5922122928785288,7,False
F34,1.6494743100234441,1.1313773048676226,7,False
M47,1.638606985764844,1.176867841025973,7,True
G46,1.636410076703344,1.4922855392371135,7,False
A49,1.6340043448976107,1.2369411435470898,7,False
G45,1.6338475218841009,1.1316628149306553,7,True
G62,1.626960352063179,1.1664810002078554,7,True
I25,1.6258124262094498,1.1378773259668276,7,True
C61,1.6253427863121033,1.5629099026265572,7,False
E73,1.616568427000727,1.2257717789873321,7,False
A63,1.6155645932470049,2.6391178031509614,7,False
N19,1.6138212755322456,1.2349990413044702,7,True
I82,1.6132745412843568,1.4860392921024472,7,False
K59,1.6115563086100988,0.32785384831603404,7,False
N17,1.6093394181558065,1.2261195024521325,7,False
G93,1.6065995608057295,1.3005985530272322,7,False
C79,1.6054657548666,1.5993026112043025,7,False
J44,1.601521577153887,1.1697222298704966,7,True
I42,1.5985481313296728,1.2276134256326945,7,False
C15,1.5976171174219675,1.9206259472094305,7,False
I50,1.5709219393985612,1.2136154381109021,7,True
L30,1.5694415760891778,1.1260319046874534,7,False
C34,1.564621705029692,1.5588534222722394,7,False
K74,1.5593179453696524,1.1565576031568547,7,True
K57,1.5581382662057877,1.1327840539327472,7,True
I85,1.553604583655085,1.1531788278984663,7,True
I60,1.5473733863660268,1.488754961201162,7,True
E10,1.5461761781147547,0.7270812376828127,7,True
D12,1.543480814567634,1.1603609325101922,7,False
J30,1.5376817328589303,0.3980653483739572,7,False
I20,1.535300714629037,1.1127730112523346,7,True
M96,1.5322575920394488,1.4239713326539591,7,False
J98,1.5243878098470824,1.251893323716315,7,False
D69,1.52210811738457,1.3567928710642065,7,False
L40,1.521379406963076,1.0824386044768206,7,True
J42,1.5176072652850832,1.20787046556731,7,True
K52,1.515547045639583,0.6705228763696365,7,False
K31,1.5129965309585844,1.1637306928716287,7,False
K66,1.512525210423129,1.4870379504791928,7,False
A09,1.509680015700204,0.46486469484952125,7,False
G57,1.5084218052881104,1.459686747054131,7,True
N28,1.508359957486391,1.434473884324064,7,False
G81,1.4998120410101754,1.302164806953344,7,False
K65,1.4977887443133764,0.8688576714979913,7,False
N32,1.497021778353623,1.486384418686036,7,False
H40,1.4898507169314794,1.5078202512005694,7,True
I46,1.4847596724118506,1.3465894282395001,7,True
H36,1.4841205946036748,1.2245173008149708,7,True
I11,1.4831892858658517,1.0711476949346623,7,True
E03,1.4819820608411516,1.1146595183900965,7,True
E88,1.4741960338183813,1.0889785913084702,7,False
D38,1.460480002420289,1.4103381403363198,7,False
J06,1.4587981360299247,0.5894000967392397,7,False
E05,1.4505712475095476,1.367765119404982,7,True
G35,1.4473937962736403,1.293091610752779,7,False
M76,1.4430709992136275,2.343082269974951,7,True
J86,1.440745150404317,1.364325996272772,7,False
C16,1.4398444358791624,1.7481239947783165,7,False
I51,1.4392115942069463,1.0707828128421217,7,False
B96,1.4358220653874534,1.3083821380419127,7,False
N04,1.4355255727257048,1.287009526914307,7,False
N40,1.4336687592523438,1.387826761014271,7,True
I72,1.4232265406421252,1.2786226890100048,7,True
H43,1.416490918823651,1.5026046314744257,7,True
D37,1.4163013941475324,1.2902814742388968,7,False
N10,1.4071225044982774,1.7247585494277997,7,False
F05,1.398839065006801,1.2598437594571108,7,False
C32,1.3903841450810432,1.6861505663678757,7,False
J03,1.3883013597556524,1.7105592757445354,7,False
I12,1.3861210782613074,1.2566225096572712,7,True
L97,1.3843131459185056,1.263150308375412,7,False
M86,1.3827582895755768,1.2425804677983543,7,False
C13,1.3820168407899993,1.6687682174272704,7,False
C10,1.378376301910196,1.6471389790957838,7,False
J18,1.3759799599647522,0.4645266060449336,7,False
C09,1.3742837607860565,1.6474940170231098,7,False
I31,1.3731785491108894,1.2217289642227975,7,False
I36,1.3604723172528403,1.2772060328214747,7,True
K72,1.358804935855525,1.2829880853033797,7,True
D63,1.3574928045272827,1.2576956498794143,7,True
B37,1.357004966054644,1.2498342040945527,7,False
J40,1.3515666595527105,1.1698722427004535,7,True
I74,1.3457965467657362,1.255908117790568,7,False
B99,1.3450675016002995,1.1756407202327392,7,False
J69,1.3357426268713815,1.2231006299281004,7,False
B94,1.332509811435427,1.6406473887924757,7,False
M06,1.32746755863939,1.1868452560024803,7,True
I15,1.322838092488902,1.2012807899140068,7,True
I07,1.3223123412047113,1.256330384520378,7,False
C21,1.315381119293826,1.581900342647162,7,False
A16,1.3101011014410429,1.1987389904200931,7,False
M20,1.3094109062637602,2.1185594443363973,7,True
I64,1.301462831241744,1.2096866445052936,7,False
D70,1.301197103623833,1.5642284039380405,7,False
I24,1.3007623287183898,1.1940334349392387,7,True
H26,1.2977095331464494,1.3940647025816766,7,True
H34,1.2956723592111044,1.2951535077288683,7,True
M72,1.2932757564953394,1.5830079078360866,7,True
D18,1.2897921449371748,1.1685877827005975,7,False
G40,1.2845547199249268,0.4682864577359197,7,False
I89,1.2804570570588112,1.5166172121468287,7,False
F14,1.2792460322380066,1.6022292007316892,7,False
L57,1.27751986682415,2.0749288180199796,7,False
L98,1.2709355535251754,1.1527288777070084,7,False
A04,1.2699875714523452,1.2514050266207037,7,False
I77,1.2680391754422868,1.1339423650134977,7,False
I73,1.2641053210411752,1.1765029295015959,7,True
J45,1.2638678465570723,0.2505989859604833,7,True
F43,1.2632348367146082,0.22634254182447258,7,False
H25,1.2630733900836535,1.3761542894151004,7,True
M10,1.2628442953739847,1.142134153848898,7,True
D75,1.2592133347477232,1.150852729751363,7,False
D13,1.2588443756103516,1.1738432285742677,7,False
H10,1.257027519600732,1.2545802619455046,7,False
I69,1.256741848375116,1.183391114985988,7,True
G63,1.2494779750704765,1.1563530936870925,7,True
I66,1.2474062336342675,1.4978301507769611,7,True
I65,1.246723832828658,1.1500854673504664,7,True
G20,1.2457410341926984,1.4719448041542191,7,True
J43,1.2305780383093017,1.130934033853338,7,True
I70,1.2295530661940575,1.1611010303313005,7,True
H47,1.2255946706448282,1.5938026921032162,7,True
J82,1.2226561595286642,1.4731945294503597,7,False
G91,1.2170891868216651,1.2763628716495938,7,False
C19,1.2169377239687102,1.4668561590895384,7,False
I27,1.2156105456607682,1.1360163888217256,7,False
I22,1.2052182012370654,1.4326987971814855,7,True
B27,1.203215910920075,1.7789652982062591,7,False
E55,1.2011185309716634,1.1018050294976172,7,False
G58,1.1997232575501715,1.0811793306709723,7,True
J22,1.1988948434591293,1.2777705289149703,7,False
C25,1.1981138246400016,1.423741178503826,7,False
M81,1.189229049852916,1.069543979724953,7,True
N42,1.1836277821234293,1.436679495325959,7,False
