age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
1,2,1.8942189713319142,1.927875578403473,3.1252405643463135,1080,42,0.0389,0.8972,0.8991
2,3,2.534084763419762,2.3028907775878906,5.060567378997803,1080,89,0.0824,0.8991,0.8593
3,4,2.4780858247212962,2.133183717727661,5.366082191467285,1080,142,0.1315,0.8593,0.8148
4,5,2.450191176635154,2.194370150566101,5.322653770446777,1080,188,0.1741,0.8148,0.7278
5,6,2.336736827099015,2.2691636085510254,5.385365009307861,1080,271,0.2509,0.7278,0.6917
6,7,2.1533258609570467,1.9981120824813843,5.642350196838379,1080,308,0.2852,0.6917,0.663
7,8,2.1655226487772805,1.9884149432182312,6.985549449920654,1080,350,0.3241,0.663,0.6444
