node,mean_drift,std_drift,n_transitions,chronic
C82,3.524840073926108,3.299252551485803,7,False
C83,3.283984822886331,3.0362145274204893,7,False
C85,3.1735297611781528,2.9431523410201588,7,False
K65,3.1500184450830733,2.251468203313695,7,False
D06,3.125946007668972,2.247742402731846,7,False
D48,3.110178825046335,1.6826957548544181,7,True
D24,3.038096527968134,1.6685594395226897,7,False
N87,3.034161459122385,2.195381830010749,7,True
K01,3.0238782465457916,2.9744404422304282,7,False
N92,3.0042963198253085,0.8296758904193889,7,True
E06,3.0000634363719394,1.6285111517864148,7,True
K07,2.9783757595079288,2.907004757102217,7,False
M65,2.9781951904296875,0.9781341429189732,7,True
M67,2.9623725584575107,1.052572695007677,7,True
D27,2.9574589048113142,0.7301447552746415,7,False
M22,2.956199986594064,1.0403936848741862,7,True
E74,2.942789213997977,0.43191896316928075,7,False
M23,2.9394826207842146,1.0118664470442986,7,True
E89,2.8969588492597853,1.59778790968032,7,False
C73,2.886164236281599,1.5834136529653018,7,False
N73,2.8165426594870433,0.7457892711172649,7,False
N64,2.8124243074229787,2.5301285349786986,7,False
N60,2.811162444097655,2.0604838896243485,7,False
E73,2.803873675210135,0.43934475945638507,7,False
E14,2.798665234020778,1.5776587194573373,7,True
N93,2.7758465632796288,2.278647108432335,7,True
G35,2.7739185807960376,2.1409985649752823,7,False
N83,2.7570857320513045,0.745245659402287,7,True
M25,2.742450169154576,1.1964738154348085,7,True
C43,2.733429924717971,2.5826708991199956,7,False
K02,2.687340402177402,2.5160482777237068,7,False
K04,2.6784252183777943,2.514604777532361,7,False
H93,2.6285267898014615,1.9124647422164227,7,False
M51,2.6074834210532054,1.0384644432709047,7,True
N62,2.5683674897466386,2.782312460664036,7,False
E04,2.566372056092535,1.6012921237556543,7,True
H33,2.4975564362747327,2.117563595102939,7,True
M94,2.4958048462867737,1.3929889431313525,7,False
K50,2.4870617389678955,0.7162171903107042,7,False
N94,2.4746203954730714,1.28829347914134,7,True
M54,2.42822756086077,1.0519183132164045,7,True
J32,2.4241344247545515,0.788236541180851,7,False
N84,2.417145947260516,1.114236463488786,7,True
N88,2.4121400362678935,1.676584284969836,7,True
E05,2.4033832496830394,1.6710357631020873,7,True
N86,2.3974798577172414,2.4977516162701257,7,True
N80,2.39461776720626,1.2520004975327066,7,False
N70,2.3847983554005623,1.2768326167828354,7,False
M41,2.3840743132999966,1.115176679635088,7,True
I82,2.3828081020287106,1.0792974718191517,7,False
K35,2.345835268497467,2.415494354340549,7,False
M81,2.3439262935093472,0.5160321551712903,7,True
M24,2.3369898593851497,1.3863246021112459,7,True
D39,2.3307370894721577,1.0968722196285636,7,False
J33,2.3108779436775615,1.32456099118225,7,False
N85,2.305873180074351,1.0937141040133227,7,True
I95,2.2776707921709334,0.5586285848344696,7,True
M95,2.2725008949637413,1.346108243322343,7,False
J01,2.260840785290514,1.215705895480636,7,False
D22,2.256980105170182,2.1044791587267904,7,False
C53,2.2483645560485974,1.5941537248429596,7,False
K80,2.248072453907558,0.49488703770586717,7,True
G44,2.237192324229649,0.6111880502436366,7,True
G43,2.236716423715864,0.6056581335619863,7,True
D25,2.234817097229617,1.0532323427516794,7,False
I83,2.1883218809962273,1.5307387622772153,7,True
K85,2.170988362814699,1.0352151621821217,7,False
D05,2.1544616743922234,1.6197427394821062,7,False
H50,2.15353570665632,1.1713034884494395,7,True
K83,2.14996783595,1.0071041387217778,7,False
H53,2.1494094835860387,2.52284463901105,7,True
A63,2.1479768274085864,2.6408823189642416,7,False
K66,2.1477175216589655,1.0266819157608165,7,False
K82,2.142524409507002,1.0101007928366803,7,False
F25,2.133011598672186,0.9625954275016609,7,False
N99,2.128954774567059,1.47098463307627,7,False
H52,2.126763411930629,1.2949800262332616,7,True
M20,2.1195769565446034,1.531407468006371,7,True
K37,2.117245833788599,2.6184945691327433,7,False
K36,2.1145396285823415,1.5526417388226015,7,False
K81,2.103695946080344,1.0220605651950347,7,True
M77,2.102936758526734,1.5389601610394097,7,True
K60,2.0929712057113647,1.156815921750133,7,False
H91,2.083566222872053,1.4096272807070316,7,True
K92,2.0794756753104076,0.5451546032672171,7,False
J03,2.065098889172077,1.390655854528179,7,False
C50,2.060132233159883,1.573848927631422,7,False
E66,2.055930256843567,0.5831826898008524,7,True
K51,2.053865317787443,0.9386957753196268,7,False
N23,2.0364990064076016,0.9817346718610281,7,False
C78,2.033410996198654,1.6745206085034947,7,False
B37,2.0286671774727956,1.4644216683521172,7,False
I80,2.0255215519240926,0.9539293742756133,7,False
F10,2.023660046713693,0.6201578247116337,7,False
D23,2.0234770764197623,1.8717586507099582,7,False
K42,2.0166404470801353,2.1857641510543457,7,False
N20,2.0096288408551897,0.9924946913269201,7,True
K76,2.008592792919704,0.5934644733228595,7,True
C79,2.0038272067904472,1.6570117554329198,7,False
L90,2.0012188841189658,1.4048691601905543,7,False
I10,2.000895244734628,0.5809045171780309,7,True
F20,1.9915335093225752,0.9112884081884839,7,False
G47,1.988983222416469,0.9946984915884058,7,True
I87,1.9835669185434068,1.4893966327772559,7,True
C77,1.9814521202019282,1.6304415514705441,7,False
G56,1.978930292384965,1.457398995370046,7,True
G55,1.9653111674955912,1.0336071958903772,7,True
E03,1.9636288029806954,0.6271537651426883,7,True
E10,1.951382807322911,1.4093739587040703,7,True
E78,1.9325905867985316,0.5960277713788593,7,True
C64,1.9293576745050294,2.347783707267847,7,False
D41,1.9213005059531756,2.356580184655266,7,False
I26,1.9170827301485198,0.9141830461900347,7,False
F13,1.913385544504438,0.5701176771398407,7,False
K58,1.913216388651303,0.920641775864988,7,False
M17,1.908681025462491,1.4585115807190079,7,True
B18,1.9057146832346916,0.9214076842942269,7,False
F43,1.9004514728273665,0.5562695369542023,7,False
C71,1.8870807306042738,1.9637730989725288,7,False
F45,1.868661335536412,0.5683147497589551,7,True
J34,1.8603016308375768,0.4405291786568004,7,False
L98,1.8589851664645332,1.2704204837203112,7,False
