node,mean_drift,std_drift,n_transitions,chronic
C85,3.7997971198388507,3.5272528160942302,7,False
C82,3.7718270623258183,3.4988165320179143,7,False
C83,3.7575265371373723,3.488626809620295,7,False
K08,3.3736214446169988,2.7223648887205703,7,False
M67,3.0352951799120222,0.7773476814812965,7,True
M24,2.980578592845372,0.7695689232060692,7,True
K02,2.978882012622697,2.7521968277031132,7,False
M51,2.964203579085214,1.4506524537629846,7,True
M23,2.9627723012651717,0.7722933057536359,7,True
M65,2.9612899848393033,0.7708485875565835,7,True
D40,2.960306130349636,1.7266891364313468,7,False
K04,2.9526507865105356,2.7682903157711323,7,False
M87,2.9470509876097952,2.4262005484193963,7,False
M54,2.9389050006866455,1.4628399741651956,7,True
C73,2.92869529660259,2.349053159581752,7,False
M93,2.9260049627295563,1.3933709485437735,7,False
F20,2.890355552945818,1.3215655241990414,7,False
I83,2.887989556150777,2.455210237690515,7,True
M22,2.8825014659336636,0.7896189827472673,7,True
C77,2.85057686482157,1.7829277417420717,7,False
E89,2.841048451406615,2.333918256212372,7,False
C78,2.830701012696539,1.791015905527404,7,False
H90,2.80419374363763,1.6510969551120185,7,True
N23,2.799430557659694,1.3916889778676929,7,False
N20,2.7890461683273315,1.419743632018823,7,True
N45,2.7667263096996715,1.836443269848774,7,False
K50,2.757823015962328,1.8655762510997993,7,False
M16,2.7327922337821553,2.464042262456665,7,True
I87,2.695634272481714,2.5038064653284096,7,True
H93,2.6439566782542636,1.5567047862830188,7,False
M94,2.590920819767884,1.3006945365367433,7,False
M25,2.5662109681538174,0.9217923323226311,7,True
M17,2.5599993637629916,1.3286132465524354,7,True
N39,2.544788019997733,1.8173985388392226,7,True
H83,2.535017824598721,1.7903922293367702,7,False
H50,2.523910301072257,1.1868697750319968,7,True
E14,2.519770468984331,1.5779683277821233,7,True
K01,2.5019408336707523,2.2366665577863807,7,False
K42,2.436999934060233,1.9743667901086084,7,False
M71,2.4362920400287424,1.695530722372536,7,True
C62,2.4021212277667865,2.268013201409211,7,False
D16,2.3885431193879674,2.3832092256100093,7,False
L72,2.3857039468629018,1.7496818854667404,7,False
K29,2.382276722363063,1.3350300623992961,7,True
K40,2.370174331324441,1.962754814731638,7,False
D23,2.36172026182924,2.141693343299951,7,False
J01,2.359872896756445,1.421189831052971,7,False
F23,2.353044002183846,1.9518635916142373,7,False
M13,2.3466790126902715,2.619867567890981,7,True
K44,2.327343157359532,1.3871522483248968,7,False
N48,2.324702169213976,1.4796266155396707,7,True
L05,2.318462502743517,2.321892381105562,7,False
C02,2.2894070712583408,3.7836996912188665,7,False
N47,2.283712225300925,1.5270013883758793,7,False
G51,2.267647372824805,1.7006087758599173,7,True
F45,2.2535081761223927,0.5872378350591883,7,True
A69,2.2495758278029307,1.8839020485068156,7,False
M75,2.2494071455938474,1.5576929466482,7,True
K07,2.236642988664763,2.419503803476725,7,False
C01,2.235874284590994,3.6965958487044595,7,False
L03,2.203549759728568,1.1408025392855006,7,False
I80,2.1939723044633865,1.1068195190331371,7,False
M21,2.1929781745587076,1.6047659304255002,7,True
K35,2.172698972480638,1.5783038313313156,7,False
I10,2.1692994151796614,0.7109815683210892,7,True
E78,2.150926572935922,0.6914258156950344,7,True
G55,2.1458411078367914,1.093826526298964,7,True
D17,2.143791596804346,1.6224858635529142,7,False
K12,2.1434741648180142,1.9518783007520044,7,False
N13,2.129595492567335,1.2045279353489646,7,False
K81,2.1284401044249535,0.9967399707487293,7,True
D48,2.116421510066305,1.9604423454359297,7,True
M77,2.1043516397476196,1.9036965491272426,7,True
M66,2.0884581559470723,1.9231218601985909,7,True
I26,2.0823310102735246,1.083121850960235,7,False
B35,2.0771577720131194,1.4533842958737417,7,False
H65,2.076651337955679,1.6309518130610192,7,False
D22,2.073246785572597,1.8963354508569426,7,False
K61,2.0666052273341586,1.2880178496325763,7,False
F13,2.063997745513916,0.6990231675203434,7,False
L02,2.0629497170448303,1.1893778071254737,7,False
F10,2.0374629327229092,0.6006551323146582,7,False
C71,2.0300131865910123,0.9928006841732057,7,False
H91,2.0293067523411343,1.1918465316655045,7,True
K51,2.020135455897876,0.969982564688868,7,False
C67,2.0196794686572894,2.107385018100387,7,False
M19,2.018120205828122,1.456502100807963,7,True
M53,2.015443537916456,1.0912827553565638,7,True
M42,2.0098680736763135,1.0511927773104952,7,True
K60,2.0025720170566013,1.2464314427007679,7,False
D41,1.9907992077725274,2.0539611351212885,7,False
K85,1.9866176534976279,0.9744308557646506,7,False
A46,1.9840838291815348,1.3898066591782616,7,False
F32,1.9790243761880058,0.6425721885534255,7,True
K65,1.9781534671783447,1.4797541432360914,7,False
K76,1.9759139674050468,0.7845601762957585,7,True
M95,1.9678220834050857,1.401889542132229,7,False
K80,1.966968291572162,0.969916537932239,7,True
I86,1.9642673528620176,3.233716013505504,7,True
N41,1.9622614671077048,1.4677505143522613,7,False
F31,1.958248961184706,0.9362941631889995,7,False
N46,1.943646218095507,3.2022563246788756,7,False
J33,1.918231623513358,0.8705007210060991,7,False
F33,1.9122627122061593,0.683608419278494,7,True
C64,1.8884509833795684,1.9093403325363356,7,False
F40,1.881614662706852,1.1072239884623214,7,True
J93,1.8746551764862878,0.8673771383319399,7,False
K58,1.8728996206607138,0.9073521375637148,7,False
D50,1.8584101029804774,1.3535017590520042,7,True
C43,1.8571336844137736,1.721687422143537,7,False
B18,1.8564585319587164,0.8814540138093471,7,False
F17,1.8547104597091675,0.6759230069588741,7,True
F11,1.8383946014302117,1.0328325768520947,7,False
N31,1.8295226788946561,1.39133132862219,7,False
F19,1.8291745260357857,1.0107036239665805,7,False
E16,1.8254886439868383,1.4349061664540927,7,False
E10,1.8239836522511073,1.5092784501379672,7,True
I71,1.8236243671604566,1.3782738984480507,7,True
H53,1.8107481385980333,2.2091945992174047,7,True
G56,1.8092042771833283,1.6744307738453206,7,True
K37,1.806172447545188,2.4163963070652033,7,False
K82,1.8054100243108613,1.2212327523534798,7,False
K09,1.8000652875219072,1.9898617876407687,7,False
I35,1.7973455722842897,1.3972209239198392,7,True
G54,1.795809700020722,1.220092918690133,7,True
I84,1.7894423146333014,1.0680089601712133,7,True
K62,1.7893404620034354,1.105120286366698,7,False
F60,1.7772620714136533,0.9961604114829826,7,False
F25,1.7673242092132568,1.1825932391461103,7,False
H33,1.76474164213453,1.510260807446854,7,True
F70,1.7625872130904878,1.255578581810371,7,False
J96,1.7541033114705766,1.2061702737279802,7,False
M79,1.748118839093617,1.156929713745321,7,True
G43,1.7277482928974288,1.1605615405819074,7,True
N18,1.7269373163580894,0.8808771092626273,7,True
J38,1.7264775202742644,1.5705913854205706,7,False
K22,1.7235007073198045,0.9099804232009614,7,True
E79,1.7165813424757548,0.8392092567761206,7,True
H52,1.7100005405289787,1.2205086364787403,7,True
D43,1.7097908247794424,1.3929661180273054,7,False
J37,1.694034646664347,1.655611610381399,7,False
E23,1.693148784339428,2.7652228289637097,7,False
L60,1.6863864394170898,2.7526166235679264,7,False
E34,1.686215905206544,2.7576643093310755,7,False
K71,1.6857334088001932,0.9039664562870522,7,True
E66,1.6837774685450964,0.6064437562510309,7,True
G44,1.6763544465814317,1.1264166841926548,7,True
K56,1.673839373247964,0.9428210797026532,7,False
K26,1.6704187052590507,0.8550102244806416,7,True
K83,1.6621443703770638,1.1502127251530656,7,False
F34,1.6610125367130553,1.1024433787187113,7,False
G82,1.6583859154156275,1.2397848496850679,7,False
E73,1.6383124951805388,1.1331915701884778,7,False
K70,1.6363916407738412,0.8378492564831053,7,True
E11,1.6350511791450637,0.8466538273533787,7,True
J20,1.6343860541071211,1.045098812246107,7,False
K25,1.6321253829768725,0.8903246920221394,7,True
A63,1.631779273705823,2.6700038398215273,7,False
H35,1.615580032978739,1.3732018164382327,7,True
G25,1.6108944096735545,1.1307705135616424,7,False
K63,1.6060600344623839,0.9395681263466789,7,False
A08,1.6049115593944276,1.4708794478368812,7,False
F63,1.5987622854965073,1.1137463588800576,7,False
M50,1.5977672774876868,1.134721756179983,7,True
G35,1.5955409024442946,1.434123889995245,7,False
M48,1.594229749270848,1.1455302848663416,7,True
H81,1.5933860061424119,1.1343658287678704,7,True
B17,1.5880750832813126,1.1212085555621711,7,False
M11,1.5876886578542846,1.9057383795462055,7,True
K43,1.5798281590853418,1.217276364114065,7,False
K86,1.5787172338792257,1.0621746830192844,7,False
K20,1.5744573324918747,1.0768984637111298,7,False
M43,1.5735200164573533,1.13381124694703,7,True
G47,1.5698672703334264,0.943141093087439,7,True
M99,1.5615637334329742,1.1334551951034555,7,False
M62,1.557950598852975,1.0507465242447973,7,True
M96,1.5574396848678589,1.4110222059513253,7,False
F06,1.5571895656841142,1.0540214692480447,7,False
K21,1.5534987109048026,1.0174843327473082,7,True
I67,1.5510156197207314,1.055188551727513,7,True
D68,1.5462137034961156,1.1783930301243821,7,False
J90,1.5384797028132848,1.1266057632596722,7,False
N43,1.5330329260655813,1.3923432908135456,7,False
K52,1.5293799042701721,0.9891712419889269,7,False
