age_from,age_to,mean_drift,median_drift,max_drift,num_nodes_all,num_nodes_non_iso,coverage,isolate_frac_from,isolate_frac_to
2,3,1.7321407794952393,1.4743765592575073,2.8072104454040527,46,13,0.2826,0.6957,0.5435
3,4,0.9971102390970502,0.7316605448722839,2.6190755367279053,46,21,0.4565,0.5435,0.3043
4,5,0.785505632404238,0.5524964034557343,2.7284979820251465,46,32,0.6957,0.3043,0.1739
5,6,0.6346008659977662,0.5700289011001587,1.5264569520950317,46,38,0.8261,0.1739,0.1087
6,7,0.6370995149016381,0.5950532853603363,1.4331247806549072,46,40,0.8696,0.1087,0.0652
7,8,0.6256717606339344,0.5991709232330322,1.3800116777420044,46,43,0.9348,0.0652,0.0652
