node,mean_drift
Urinary tract calculi,1.962860236565272
Urinary incontinence,1.9417832791805267
Dizziness,0.9189549985652169
Chronic cholecystitis/gallstones,0.9146498789389929
Severe hearing loss,0.903884271470209
Migraine/chronic headache,0.7929829213147362
Hemorrhoids,0.7927408286680778
Severe vision reduction,0.7761575014640888
Diabetes mellitus,0.7475636204083761
Hyperuricemia/gout,0.7459266434113184
Insomnia,0.7377344916264215
Cancer,0.7376025567452112
Chronic gastritis/GERD,0.7220377602304021
Asthma/COPD,0.6862898916006088
Tobacco abuse,0.678596667945385
Intestinal diverticulosis,0.67033391383787
Renal insufficiency,0.6609456067283949
Chronic ischemic heart disease,0.6607243145505587
Prostatic hyperplasia,0.6365166477238139
Sexual dysfunction,0.6361697992930809
