node,mean_drift
G50-G59,2.1619411877223422
H60-H62,2.022160061768123
M95-M99,2.0210454719407216
N40-N51,2.000091254711151
N20-N23,1.9057425260543823
A65-A69,1.8977253852146012
L00-L08,1.7674967731748308
H30-H36,1.6455354887459959
M40-M54,1.6387855921472823
J30-J39,1.6001392688070024
H80-H83,1.5833335944584437
H25-H28,1.5598037104521478
L60-L75,1.5550808007163661
N10-N16,1.4662656784057617
B00-B09,1.442535366330828
K00-K14,1.4357667991093226
F20-F29,1.429421263081687
F60-F69,1.426220178604126
B35-B49,1.4249512212617057
B95-B98,1.4117386085646493
