age,age_range,auc,auc_std,n_splits,spearman_r,n_edges,n_safe,n_held_out,two_hop_pool,n_neg,used_fallback,auc_shuffled
1,0-9,0.6758295154796613,0.022290057813143326,3,0.38629361053188516,253,246,49,643,49,False,
2,10-19,0.5318930041152262,0.11863884209980143,3,0.5389331649964492,115,92,18,223,18,False,
3,20-29,0.6229423868312757,0.015564419002476614,3,0.6050922246672654,203,183,36,509,36,False,
4,30-39,0.6591284797989817,0.09567894332492713,3,0.5577519758070296,373,357,71,1291,71,False,
5,40-49,0.6675577337194625,0.037330616646284294,3,0.503760388755166,680,674,134,2154,134,False,
6,50-59,0.7177910816397756,0.018617634942343832,3,0.47593428184094877,974,969,193,2701,193,False,
7,60-69,0.7241680878044514,0.007607111761216778,3,0.43311528078703715,1162,1155,231,2855,231,False,
8,70-79,0.6979166666666666,0.016086779741842014,3,0.47684587806206796,1290,1283,256,2674,256,False,0.4162750244140625
